6.590000000e+03,-2.099474694e+01,2.560157311e+00,-2.356677524e-02,1.548859935e-02
6.590100000e+03,-2.308713348e+01,2.750306126e+00,-2.048859935e-02,8.452768730e-03
6.590200000e+03,-3.584964449e+01,-3.116039112e+00,-5.097719870e-03,-1.302931596e-04
6.590300000e+03,-3.273000264e+01,8.849099039e-01,4.625407166e-03,5.651465798e-03
6.590400000e+03,-2.377778070e+01,1.667219009e+00,-1.970684039e-03,2.037459283e-02
6.590500000e+03,-1.852237822e+01,9.679719598e-01,2.125407166e-02,3.087947883e-02
6.590600000e+03,-2.328789391e+01,1.254991006e+00,6.726384365e-03,2.058631922e-02
6.590700000e+03,-1.936041187e+01,4.767005804e-01,3.024429967e-02,1.561889251e-02
6.590800000e+03,-2.405223413e+01,3.036285885e+00,-1.972312704e-02,2.084690554e-03
6.590900000e+03,-1.959478882e+01,2.297071276e+00,-2.200325733e-02,2.477198697e-02
6.591000000e+03,-1.578489350e+01,2.574693240e+00,-4.333876221e-02,2.758957655e-02
6.591100000e+03,-2.148631918e+01,-2.055217328e+00,-1.241042345e-02,-2.358306189e-02
6.591200000e+03,-1.582482864e+01,-8.744677730e-01,3.280130293e-02,-3.923452769e-02
6.591300000e+03,-1.541031707e+01,1.380486934e+00,1.014657980e-02,5.267100977e-02
6.591400000e+03,-2.615738502e+01,1.078130648e+00,7.361563518e-03,1.371335505e-02
6.591500000e+03,-1.765778088e+01,-1.631007147e+00,-2.491856678e-03,-4.133550489e-02
6.591600000e+03,-2.310795148e+01,3.285056345e-01,2.092833876e-02,7.133550489e-03
6.591700000e+03,-1.548358088e+01,2.461400089e+00,-4.135179153e-02,3.345276873e-02
6.591800000e+03,-2.176858238e+01,2.361551582e+00,-1.833876221e-02,1.814332248e-02
6.591900000e+03,-2.621256852e+01,-2.908873913e+00,-1.504885993e-02,-3.566775244e-03
6.592000000e+03,-2.325806472e+01,3.487710036e-01,2.042345277e-02,7.426710098e-03
6.592100000e+03,-2.543695018e+01,6.650409817e-02,1.687296417e-02,1.123778502e-03
6.592200000e+03,-1.849252385e+01,1.704549541e+00,-5.016286645e-03,3.728013029e-02
6.592300000e+03,-2.486600791e+01,2.248213319e+00,-1.131921824e-02,1.407166124e-02
6.592400000e+03,-2.584600449e+01,2.390466780e+00,-1.179153094e-02,1.100977199e-02
6.592500000e+03,-2.219517826e+01,-4.692821876e-01,2.190553746e-02,-1.110749186e-02
6.592600000e+03,-2.467618863e+01,-2.719784752e+00,-1.684039088e-02,-7.557003257e-03
6.592700000e+03,-1.464981665e+01,-9.898146711e-01,3.213355049e-02,-4.894136808e-02
6.592800000e+03,-4.812833877e+01,-1.636491128e+00,-8.143322476e-05,-1.237785016e-03
6.592900000e+03,-1.799819047e+01,-2.584337365e+00,-3.379478827e-02,-2.105863192e-02
6.593000000e+03,-1.775198973e+01,-2.261309419e+00,-2.609120521e-02,-3.157980456e-02
6.593100000e+03,-2.681240316e+01,-1.278539306e-01,1.431596091e-02,-1.840390879e-03
6.593200000e+03,-2.523465887e+01,2.963759013e+00,-1.703583062e-02,3.061889251e-03
6.593300000e+03,-1.642953485e+01,-9.037340051e-01,2.951140065e-02,-3.747557003e-02
6.593400000e+03,-2.498581960e+01,-6.341743858e-01,1.434853420e-02,-1.055374593e-02
6.593500000e+03,-1.703128595e+01,-2.654541232e+00,-3.933224756e-02,-2.083061889e-02
6.593600000e+03,-3.108715320e+01,2.060862231e+00,-4.153094463e-03,7.785016287e-03
6.593700000e+03,-2.062377346e+01,3.131631721e+00,-2.942996743e-02,2.931596091e-04
6.593800000e+03,-3.363015591e+01,1.953599438e+00,-2.459283388e-03,6.107491857e-03
6.593900000e+03,-2.903644216e+01,2.039659012e+00,-5.048859935e-03,9.967426710e-03
6.594000000e+03,-1.936880436e+01,6.182131358e-02,3.394136808e-02,2.100977199e-03
6.594100000e+03,-2.297080108e+01,-8.891480094e-01,1.415309446e-02,-1.744299674e-02
6.594200000e+03,-1.226085428e+01,-8.613679464e-01,5.021172638e-02,-5.848534202e-02
6.594300000e+03,-2.046199438e+01,-5.917687804e-01,2.488599349e-02,-1.672638436e-02
6.594400000e+03,-2.265288282e+01,2.137471934e+00,-1.250814332e-02,1.965798046e-02
6.594500000e+03,-3.481279031e+01,2.545728577e+00,-4.755700326e-03,3.224755700e-03
6.594600000e+03,-2.743291679e+01,1.333460078e+00,3.159609121e-03,1.306188925e-02
6.594700000e+03,-2.647474070e+01,-2.098558275e+00,-7.557003257e-03,-1.296416938e-02
6.594800000e+03,-3.337134897e+01,1.900899003e+00,-2.198697068e-03,6.416938111e-03
6.594900000e+03,-1.594685092e+01,-4.892163746e-01,4.451140065e-02,-2.369706840e-02
6.595000000e+03,-2.482766232e+01,-2.052514258e+00,-8.403908795e-03,-1.607491857e-02
6.595100000e+03,-1.611199602e+01,1.340987372e+00,1.127035831e-02,4.817589577e-02
6.595200000e+03,-1.634260349e+01,-1.418429702e+00,7.312703583e-03,-4.762214984e-02
6.595300000e+03,-2.011147946e+01,-2.467829387e+00,-2.439739414e-02,-1.947882736e-02
6.595400000e+03,-2.173071881e+01,-2.757584482e+00,-2.402280130e-02,-9.706840391e-03
6.595500000e+03,-2.325818669e+01,-2.657498682e+00,-1.923452769e-02,-1.011400651e-02
6.595600000e+03,-2.319405028e+01,3.405718611e-01,2.063517915e-02,7.312703583e-03
6.595700000e+03,-2.181688273e+01,-2.427182119e+00,-1.938110749e-02,-1.680781759e-02
6.595800000e+03,-1.981553944e+01,1.407719928e+00,5.244299674e-03,3.187296417e-02
6.595900000e+03,-1.478030721e+01,2.171643841e+00,-3.260586319e-02,4.757328990e-02
6.596000000e+03,-1.871780873e+01,-3.644450538e-02,3.662866450e-02,-1.335504886e-03
6.596100000e+03,-1.849299282e+01,1.223985960e+00,1.278501629e-02,3.537459283e-02
6.596200000e+03,-3.722577709e+01,-4.117521662e-02,4.348534202e-03,-1.791530945e-04
6.596300000e+03,-2.163062970e+01,-2.278344214e+00,-1.703583062e-02,-1.991856678e-02
6.596400000e+03,-1.884912814e+01,-2.773701761e-01,3.472312704e-02,-9.885993485e-03
6.596500000e+03,-2.730261399e+01,2.913988437e+00,-1.328990228e-02,3.078175896e-03
6.596600000e+03,-2.575728722e+01,-8.624952227e-01,1.060260586e-02,-1.237785016e-02
6.596700000e+03,-2.115816554e+01,6.350267354e-01,2.228013029e-02,1.641693811e-02
6.596800000e+03,-3.069875006e+01,-1.738542033e-01,9.087947883e-03,-1.596091205e-03
6.596900000e+03,-1.976956237e+01,2.870457874e+00,-3.128664495e-02,8.697068404e-03
6.597000000e+03,-3.059478907e+01,1.284351184e+00,2.638436482e-03,8.957654723e-03
6.597100000e+03,-2.168598371e+01,1.332794647e+00,6.140065147e-03,2.530944625e-02
6.597200000e+03,-2.271700397e+01,-2.027815042e-01,2.265472313e-02,-4.657980456e-03
6.597300000e+03,-3.022235410e+01,-6.836133608e-01,7.557003257e-03,-6.156351792e-03
6.597400000e+03,-2.905622512e+01,-1.022108411e+00,5.814332248e-03,-9.511400651e-03
6.597500000e+03,-2.648070993e+01,6.884805356e-01,1.157980456e-02,9.527687296e-03
6.597600000e+03,-2.192871465e+01,-3.090767178e+00,-2.529315961e-02,-1.286644951e-03
6.597700000e+03,-2.447262644e+01,-1.616493568e+00,-8.631921824e-04,-1.887622150e-02
6.597800000e+03,-2.638716056e+01,1.801702424e+00,-3.469055375e-03,1.475570033e-02
6.597900000e+03,-3.143765069e+01,2.564250627e+00,-7.100977199e-03,4.625407166e-03
6.598000000e+03,-2.154424806e+01,1.911419908e+00,-8.843648208e-03,2.495114007e-02
6.598100000e+03,-2.572651797e+01,-1.434954683e+00,2.214983713e-03,-1.620521173e-02
6.598200000e+03,-2.083711271e+01,1.439823900e-01,2.842019544e-02,4.120521173e-03
6.598300000e+03,-2.127302739e+01,7.638915684e-01,1.972312704e-02,1.889250814e-02
6.598400000e+03,-2.676762994e+01,-2.819487112e+00,-1.376221498e-02,-4.592833876e-03
6.598500000e+03,-3.044871876e+01,1.948436470e+00,-3.501628664e-03,8.827361564e-03
6.598600000e+03,-2.024064559e+01,4.638844075e-01,2.750814332e-02,1.376221498e-02
6.598700000e+03,-2.424241121e+01,-1.045924091e+00,9.723127036e-03,-1.679153094e-02
6.598800000e+03,-2.399474571e+01,-1.919637027e+00,-6.824104235e-03,-1.876221498e-02
6.598900000e+03,-1.560020874e+01,1.915218955e+00,-1.771986971e-02,4.939739414e-02
6.599000000e+03,-2.208882976e+01,-2.260166878e+00,-1.581433225e-02,-1.918566775e-02
