-3.000000000e+01,6.565000000e+03,-2.479619832e+01,1.795477613e+00,-4.055989583e-04,1.774739583e-03
-3.000000000e+01,6.565100000e+03,-1.853984552e+01,2.480984470e+00,-2.954101562e-03,2.295572917e-03
-3.000000000e+01,6.565200000e+03,-1.359226386e+01,-6.560047647e-01,5.240234375e-03,-4.033528646e-03
-3.000000000e+01,6.565300000e+03,-1.586142223e+01,2.840866094e+00,-4.863932292e-03,1.508463542e-03
-3.000000000e+01,6.565400000e+03,-1.551713701e+01,2.483960381e+00,-4.193359375e-03,3.238606771e-03
-3.000000000e+01,6.565500000e+03,-1.326227287e+01,1.863619420e+00,-1.982747396e-03,6.576497396e-03
-3.000000000e+01,6.565600000e+03,-2.190987404e+01,-2.901914855e-01,2.431966146e-03,-7.262369792e-04
-3.000000000e+01,6.565700000e+03,-1.891265220e+01,2.947830850e+00,-3.516927083e-03,6.901041667e-04
-3.000000000e+01,6.565800000e+03,-3.306359127e+01,-2.141326727e+00,-3.795572917e-04,-5.914713542e-04
-3.000000000e+01,6.565900000e+03,-1.941768785e+01,-1.318019550e+00,8.457031250e-04,-3.274088542e-03
-3.000000000e+01,6.566000000e+03,-2.049063190e+01,6.499710429e-01,2.379231771e-03,1.808593750e-03
-3.000000000e+01,6.566100000e+03,-1.694899595e+01,-3.449148224e-01,4.228515625e-03,-1.519205729e-03
-3.000000000e+01,6.566200000e+03,-2.537513917e+01,-2.520876574e+00,-1.385416667e-03,-9.905598958e-04
-3.000000000e+01,6.566300000e+03,-1.440785621e+01,1.040939259e+00,3.042643229e-03,5.194661458e-03
-3.000000000e+01,6.566400000e+03,-2.215625663e+01,1.276003094e+00,7.167968750e-04,2.360677083e-03
-3.000000000e+01,6.566500000e+03,-2.006321496e+01,-2.124713380e+00,-1.651367188e-03,-2.669921875e-03
-3.000000000e+01,6.566600000e+03,-2.262582195e+01,2.598757064e-01,2.258789063e-03,6.005859375e-04
-3.000000000e+01,6.566700000e+03,-1.474851325e+01,4.422190839e-01,5.231770833e-03,2.477213542e-03
-3.000000000e+01,6.566800000e+03,-1.949915997e+01,1.880347493e+00,-1.020507812e-03,3.190755208e-03
-3.000000000e+01,6.566900000e+03,-3.514334719e+01,2.388411438e-01,5.374348958e-04,1.308593750e-04
-3.000000000e+01,6.567000000e+03,-1.667936965e+01,-2.730171522e+00,-4.248046875e-03,-1.853515625e-03
-3.000000000e+01,6.567100000e+03,-1.804692133e+01,-3.090353381e+00,-3.954427083e-03,-2.027994792e-04
-3.000000000e+01,6.567200000e+03,-1.899091351e+01,1.048217198e+00,1.772786458e-03,3.077799479e-03
-3.000000000e+01,6.567300000e+03,-1.535404991e+01,2.607698059e+00,-4.647460937e-03,2.747395833e-03
-3.000000000e+01,6.567400000e+03,-2.317723009e+01,2.367422899e+00,-1.568359375e-03,1.533528646e-03
-3.000000000e+01,6.567500000e+03,-1.693738371e+01,-8.978293940e-01,2.804361979e-03,-3.518229167e-03
-3.000000000e+01,6.567600000e+03,-2.151798684e+01,1.236019214e+00,8.723958333e-04,2.507812500e-03
-3.000000000e+01,6.567700000e+03,-1.607622431e+01,6.813821331e-01,3.858723958e-03,3.129231771e-03
-3.000000000e+01,6.567800000e+03,-1.770993554e+01,1.981617369e+00,-1.643880208e-03,3.773763021e-03
-3.000000000e+01,6.567900000e+03,-2.422710532e+01,1.186620356e+00,7.285156250e-04,1.802083333e-03
-3.000000000e+01,6.568000000e+03,-1.553465095e+01,2.808122365e+00,-4.996419271e-03,1.730794271e-03
-3.000000000e+01,6.568100000e+03,-1.813024635e+01,1.994466053e-01,3.844075521e-03,7.770182292e-04
-3.000000000e+01,6.568200000e+03,-1.462819241e+01,-6.506334656e-01,4.670247396e-03,-3.555013021e-03
-3.000000000e+01,6.568300000e+03,-1.750724508e+01,1.691845311e+00,-5.087890625e-04,4.182617188e-03
-3.000000000e+01,6.568400000e+03,-4.942042408e+01,-2.901783811e+00,-1.038411458e-04,-2.539062500e-05
-3.000000000e+01,6.568500000e+03,-2.287399794e+01,2.124291475e+00,-1.194010417e-03,1.932291667e-03
-3.000000000e+01,6.568600000e+03,-1.747525802e+01,-1.834314206e+00,-1.101562500e-03,-4.083007813e-03
-3.000000000e+01,6.568700000e+03,-1.947032576e+01,9.600941649e-01,1.927408854e-03,2.753580729e-03
-3.000000000e+01,6.568800000e+03,-1.815054370e+01,-1.139300832e+00,1.636393229e-03,-3.554036458e-03
-3.000000000e+01,6.568900000e+03,-1.297680634e+01,-2.633919562e+00,-6.203125000e-03,-3.450846354e-03
-3.000000000e+01,6.569000000e+03,-2.310172604e+01,-1.985540201e+00,-8.916015625e-04,-2.025065104e-03
-3.000000000e+01,6.569100000e+03,-2.160652142e+01,1.832116742e+00,-6.790364583e-04,2.539062500e-03
-3.000000000e+01,6.569200000e+03,-2.122761224e+01,1.901545513e+00,-8.916015625e-04,2.596679688e-03
-3.000000000e+01,6.569300000e+03,-2.383548925e+01,-9.184583579e-01,1.234375000e-03,-1.615885417e-03
-3.000000000e+01,6.569400000e+03,-2.487195965e+01,1.240318597e+00,5.856119792e-04,1.707031250e-03
-3.000000000e+01,6.569500000e+03,-1.943078588e+01,9.713491486e-01,1.904947917e-03,2.787760417e-03
-3.000000000e+01,6.569600000e+03,-3.847755450e+01,-3.006415107e+00,-3.733723958e-04,-5.078125000e-05
-3.000000000e+01,6.569700000e+03,-1.881193780e+01,2.537478880e+00,-2.984049479e-03,2.059570312e-03
-3.000000000e+01,6.569800000e+03,-1.991290238e+01,-4.166411519e-01,2.920898438e-03,-1.292643229e-03
-3.000000000e+01,6.569900000e+03,-1.920846635e+01,-4.379669567e-01,3.137044271e-03,-1.469075521e-03
-3.000000000e+01,6.570000000e+03,-1.277973375e+01,1.856885717e+00,-2.049153646e-03,6.966145833e-03
-3.000000000e+01,6.570100000e+03,-1.985078167e+01,-1.880387480e+00,-9.801432292e-04,-3.064127604e-03
-3.000000000e+01,6.570200000e+03,-2.710395301e+01,2.316769476e+00,-9.472656250e-04,1.025065104e-03
-3.000000000e+01,6.570300000e+03,-1.844574202e+01,1.523352422e+00,1.793619792e-04,3.777669271e-03
-3.000000000e+01,6.570400000e+03,-2.243784635e+01,-2.775133140e+00,-2.229817708e-03,-8.557942708e-04
-3.000000000e+01,6.570500000e+03,-2.856526332e+01,-3.045411273e+00,-1.174153646e-03,-1.132812500e-04
-3.000000000e+01,6.570600000e+03,-2.404677004e+01,-2.136732982e+00,-1.064127604e-03,-1.675130208e-03
-3.000000000e+01,6.570700000e+03,-1.708632265e+01,-2.206421844e+00,-2.625651042e-03,-3.558919271e-03
-3.000000000e+01,6.570800000e+03,-1.212193772e+01,2.778144189e-01,7.532226563e-03,2.148111979e-03
-3.000000000e+01,6.570900000e+03,-1.690232699e+01,1.124326168e+00,1.950520833e-03,4.074544271e-03
-3.000000000e+01,6.571000000e+03,-2.306518831e+01,2.040078417e+00,-1.004882813e-03,1.981770833e-03
-3.000000000e+01,6.571100000e+03,-2.151424506e+01,1.887702897e+00,-8.277994792e-04,2.524088542e-03
-3.000000000e+01,6.571200000e+03,-1.616252056e+01,-1.182302212e+00,1.863281250e-03,-4.552408854e-03
-3.000000000e+01,6.571300000e+03,-1.181351001e+01,-2.173895524e+00,-4.603190104e-03,-6.683919271e-03
-3.000000000e+01,6.571400000e+03,-1.913562365e+01,1.772705992e+00,-7.005208333e-04,3.422200521e-03
-3.000000000e+01,6.571500000e+03,-1.711518988e+01,2.340528339e+00,-3.067708333e-03,3.165364583e-03
-3.000000000e+01,6.571600000e+03,-2.004561449e+01,-2.364243489e+00,-2.242187500e-03,-2.206380208e-03
-3.000000000e+01,6.571700000e+03,-2.151326924e+01,-2.974792184e+00,-2.619791667e-03,-4.410807292e-04
-3.000000000e+01,6.571800000e+03,-1.039915437e+01,-2.862384755e+00,-9.180989583e-03,-2.632161458e-03
-3.000000000e+01,6.571900000e+03,-2.135062397e+01,4.892499327e-01,2.389322917e-03,1.272135417e-03
-3.000000000e+01,6.572000000e+03,-9.630125638e+00,1.174666221e+00,4.026367188e-03,9.626953125e-03
